contaminant,detection_benthos,detection_soles
CB28,100,100
CB31,100,100
CB44,100,100
CB49,100,100
CB52,100,100
CB101,100,100
CB105,100,100
CB110,100,100
CB118,100,100
CB128,100,100
CB132,100,100
CB138,100,100
CB149,100,100
CB153,100,100
CB156,100,100
CB170,100,100
CB180,100,100
CB187,100,100
CB194,100,100
PFPeA,16,53
PFHxA,9,0
PFHpA,13,13
PFOA,20,27
PFNA,91,100
PFDA,64,93
PFUnDA,69,27
PFDoDA,98,100
PFTrDA,62,87
PFTeDA,53,40
FOSA,91,73
FOSAA,0,0
MeFOSAA,16,27
EtFOSAA,60,73
PFBS,0,0
PFHxS,11,13
PFHpS,0,0
L-PFOS,98,100
Br-PFOS,27,87
PFDS,2,0
4:2 FTSA,0,0
6:2 FTSA,93,13
8:2 FTSA,71,40
10:2 FTSA,42,0
6:2 diPAP,2,0
8:2 diPAP,7,0
a-HBCDD,83,0
b-HBCDD,69,0
g-HBCDD,76,0
