species,labels,grp,alim,d13C,d15N,source
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-15.7975,8.609000000000002,CHOPIN
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-17.6755,11.347000000000003,CHOPIN
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-17.7375,11.391000000000002,CHOPIN
Scrobicularia_plana,Scrobicularia p.,Bivalvia,Deposivore,-18.5265,11.060000000000002,CHOPIN
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-16.7985,13.765000000000002,CHOPIN
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-15.6795,13.923000000000002,CHOPIN
Corophium_volutator,Corophium v.,Crustacea,Deposivore,-18.2885,10.526000000000003,CHOPIN
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-15.5745,14.027000000000003,CHOPIN
Abra_alba,Abra a.,Bivalvia,Suspensivore,-19.308567255719442,8.372206067819599,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-19.383997461632053,8.760975371489367,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-19.219460937696525,7.160461830469428,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-20.304077794984025,7.034930973495545,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-18.55861333497305,9.704868631338588,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-18.141515747415433,9.402113674053176,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-18.507849762400287,9.16996055218381,CAPES
Abra_alba,Abra a.,Bivalvia,Suspensivore,-17.38330795467541,10.543859941161813,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-22.685485573103097,8.62763104822696,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-22.27078876077182,9.451504127026709,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-22.7207840138282,8.779053640590552,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-21.513585008461497,9.841521487811077,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-21.26668441419696,8.25226511148574,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-20.426609819196436,9.20311829558499,CAPES
